stnreg_stnid	Stnreg	Platform type
BPND37	SÖ37 / ASKÖFJÄRDEN	BTL
BPND04	SÖ4 / SILLÖFJÄRDEN	BTL
BPND08	SÖ8 / ÖRSBAKEN YTTRE	BTL
GBSX83	SÖDERHAMN	BTL
SKNX35	TH1	BTL
SKSX44	TH10	BTL
SKSX45	TH11	BTL
SKSX46	TH12	BTL
SKNX36	TH2	BTL
SKNX37	TH3	BTL
SKNX38	TH4	BTL
SKNX39	TH5	BTL
SKNX40	TH6	BTL
SKSX41	TH7	BTL
SKSX42	TH8	BTL
SKSX43	TH9	BTL
GBQU11	TL4 / LILLFJÄRDEN	BTL
GBQU12	TL5 / LILLFJÄRDEN	BTL
GBBH01	TO5 / LEPPIKARI	BTL
GBBH02	TOE9 / Ö LAUNINKARI	BTL
FIBO60	TRUSKÄREN	BTL
GBAX01	TRÖSKELN ÅLANDS HAV	BTL
GBAC10	U10 / RAGGARÖFJ	BTL
GBAC11	U11 / GALTFJ	BTL
BPNS48	U12 / EDEBOVIKEN	BTL
GBAC13	U13 / HARGSHAMN	BTL
BPNS43	U16 / ORTALAVIKEN	BTL
BPNS44	U16A	BTL
GBAC17	U17 / ELLASTRÖMMEN	BTL
GBAC20	U20 / GÄLLÖFJÄRDEN	BTL
GBAC21	U21 / O ÖRTSKÄR	BTL
GBAC22	U22 / GRANFJÄRDEN	BTL
GBAC03	U3B / YTTRE LÖVSTABUKTEN	BTL
GBAC05	U4 / KARLHOLM	BTL
GBAC04	U4B / O SVARTHAREN	BTL
GBAC06	U6B	BTL
GBAC09	U9 / LÅNGALMAFJ	BTL
GBQU05	UKV1	BTL
GBQU06	UKV2	BTL
GBQU07	UKV3	BTL
GBQU08	UKV4	BTL
FIBX41	ULSHOLMEN	BTL
GBBS01	URSVIKSFJÄRDEN	BTL
GBSX29	US1	BTL
GBSX28	US2 ULVÖDJ	BTL
GBSX27	US3 / C6	BTL
GBSX26	US5B / C1	BTL
GBSX24	US6	BTL
GBSX25	US6B	BTL
GBSX23	US7	BTL
KAEX31	W HALLANDS VÄDERÖ	BTL
SOCX39	W LANDSKRONA	BTL
KANX48	W VINGA	BTL
GBSY23	V1	BTL
BPWM06	V1-V	BTL
GBSY24	V2	BTL
BPWM02	V22-V	BTL
GBSY25	V3	BTL
BPWM04	V3-V	BTL
GBSY26	V4	BTL
GBSY27	V5	BTL
GBSY28	V6	BTL
BPWM01	V6-VMS	BTL
BPNE01	VA03 / INRE VALDEMARSVIK	BTL
BPNE02	VA04 / YTTR VALDEMARSVIK	BTL
BPNE03	VA05 / VALDEMARSV KR-TA	BTL
BPNE04	VA06 / FYRUDDEN FÅGELÖ	BTL
BPNE05	VA08 / ORREN	BTL
BPNE06	VA09 / FÅNGÖ	BTL
BPNE07	VA10 / ÅLÖSUNDET	BTL
BPNE08	VA11 / KAGGEBOFJÄRDEN	BTL
KANI01	VALÖ	BTL
